Nr., Sinken, t1    , Steigen, t2    , v1       , v2       , v1+v2    , R0       , f    , Q     , Q1   , Q/Q1m , n , Q/n  , f    , 
 14, 10    , 12.38 , 10     , 5.03  , 4.039E-05, 9.940E-05, 1.398E-04, 6.204E-07, 0.889,  2.976,      ,  1.88 ,  2, 1.488, 0.889, 1
 15, 10    , 12.7  , 10     , 4.73  , 3.937E-05, 1.057E-04, 1.451E-04, 6.125E-07, 0.888,  3.042,      ,  1.922,  2, 1.521, 0.888, 1
 16, 20    , 11.27 , 20     , 2.05  , 8.873E-05, 4.878E-04, 5.765E-04, 9.196E-07, 0.922, 19.223,      , 12.145, 12,      ,      ,  
 17, 20    , 11.34 , 20     , 2.06  , 8.818E-05, 4.854E-04, 5.736E-04, 9.167E-07, 0.922, 19.059,      , 12.042, 12,      ,      ,  
 18, 20    , 11.24 , 20     , 2.03  , 8.897E-05, 4.926E-04, 5.816E-04, 9.208E-07, 0.922, 19.42 ,      , 12.27 , 12,      ,      ,  
 19, 20    , 11.31 , 20     , 2     , 8.842E-05, 5.000E-04, 5.884E-04, 9.179E-07, 0.922, 19.58 ,      , 12.371, 12,      ,      ,  
 20, 20    , 11.05 , 20     , 2.07  , 9.050E-05, 4.831E-04, 5.736E-04, 9.287E-07, 0.923, 19.336,      , 12.217, 12,      ,      ,  
 21, 10    , 3.42  , 10     , 5.07  , 1.462E-04, 9.862E-05, 2.448E-04, 1.180E-06, 0.938, 10.754,      ,  6.794,  7,      ,      ,  
 22, 10    , 3.4   , 10     , 5.04  , 1.471E-04, 9.921E-05, 2.463E-04, 1.184E-06, 0.938, 10.852,      ,  6.856,  7,      ,      ,  
 23, 10    , 3.3   , 10     , 4.83  , 1.515E-04, 1.035E-04, 2.550E-04, 1.202E-06, 0.939, 11.423,      ,  7.217,  7,      ,      ,  
 24, 10    , 3.39  , 10     , 4.93  , 1.475E-04, 1.014E-04, 2.489E-04, 1.186E-06, 0.939, 10.986,      ,  6.941,  7,      ,      ,  
 25, 10    , 3.37  , 10     , 5.1   , 1.484E-04, 9.804E-05, 2.464E-04, 1.189E-06, 0.939, 10.911,      ,  6.894,  7,      ,      ,  
 26, 10    , 11.45 , 10     , 18.22 , 4.367E-05, 2.744E-05, 7.111E-05, 6.451E-07, 0.893,  1.584, 1.584,  1.001,  1, 1.584, 0.893, 1
 27, 10    , 10.61 , 10     , 16.41 , 4.713E-05, 3.047E-05, 7.759E-05, 6.702E-07, 0.896,  1.806, 1.806,  1.141,  1, 1.806, 0.896, 1
 28, 10    , 11.85 , 10     , 18.19 , 4.219E-05, 2.749E-05, 6.968E-05, 6.341E-07, 0.891,  1.521, 1.521,  0.961,  1, 1.521, 0.891, 1
 29, 10    , 12.18 , 10     , 18.66 , 4.105E-05, 2.680E-05, 6.785E-05, 6.255E-07, 0.89 ,  1.458, 1.458,  0.921,  1, 1.458, 0.89 , 1
 30, 20    , 23.42 , 30     , 54.5  , 4.270E-05, 2.752E-05, 7.022E-05, 6.379E-07, 0.892,  1.544, 1.544,  0.975,  1, 1.544, 0.892, 1
